OBJECTID,Shape,AREA,PERIMETER,ZIP,ZIPCODE,COUNTY,Shape_Length,Shape_Area
1,"(47.35539263600003, -122.29061174099996)",,,98001,98001,033,65890.455144536361331,106356173.817389190196991
2,"(47.353754397000046, -122.22920999499996)",,,98002,98002,033,46055.037095445070008,41513546.333747945725918
3,"(47.35745195000004, -122.30299507799998)",,,98003,98003,033,54169.129037108294142,64029097.962350443005562
4,"(47.64641883300004, -122.21195084799996)",,,98004,98004,033,44872.033793683338445,51205808.90989975631237
5,"(47.66056221400004, -122.15354361399994)",,,98005,98005,033,51448.971826941262407,42836829.980212561786175
6,"(47.57610361500008, -122.12669830499999)",,,98006,98006,033,47033.786841867484327,67871604.831207200884819
7,"(47.66064227900006, -122.14326576199994)",,,98007,98007,033,50132.253924558855942,24009907.519965149462223
8,"(47.646083900000065, -122.11174926399997)",,,98008,98008,033,41531.695911608578172,45282196.616496704518795
9,"(47.340957254000045, -122.01921110399996)",,,98010,98010,033,60320.600786675990093,104689800.980115562677383
10,"(47.776369800000055, -122.18361722299994)",,,98011,98011,033,32151.674048103865061,40733912.609606310725212
11,"(47.82959476600007, -122.24393479399998)",,,98012,98012,061,50309.584534334004275,86910758.38972182571888
12,"(47.70489776000005, -121.86336504499997)",,,98014,98014,033,102942.187458578686346,237438803.946951806545258
13,"(47.776634073000025, -121.95168908)",,,98019,98019,033,141573.372913047875045,654774593.109196424484253
14,"(47.83640186700006, -122.35707352199995)",,,98020,98020,061,40481.295865860374761,104011813.572957471013069
15,"(47.77642411000005, -122.19629550399998)",,,98021,98021,061,46128.963061323091097,56164657.690834701061249
16,"(47.37208234700006, -121.84835358499998)",,,98022,98022,033,330064.354661120625678,2286945421.775869369506836
17,"(47.087247769000044, -121.37996163999998)",,,98022,98022,053,132373.347043551533716,501192064.751706719398499
18,"(47.339501564000045, -122.33437124199997)",,,98023,98023,033,49442.781182404978608,104089708.09884124994278
19,"(47.68665425200004, -121.68438199899998)",,,98024,98024,033,163819.141254714224488,445995508.950696289539337
20,"(47.87442853700003, -122.29139513999996)",,,98026,98026,061,64578.095729602238862,96217314.057940274477005
21,"(47.57204559300004, -122.07917101599998)",,,98027,98027,033,124258.395587035018252,340637850.089649438858032
22,"(47.76909367600007, -122.22787972499998)",,,98028,98028,033,32397.588152818665549,41008844.854586631059647
23,"(47.58429568100007, -121.97642224799995)",,,98029,98029,033,50168.81555914672208,56564378.158063545823097
24,"(47.386916159000066, -122.21005827199997)",,,98030,98030,033,42474.669043105677702,40500999.591161735355854
25,"(47.43750364700003, -122.21842289699998)",,,98031,98031,033,53101.065121856219776,46209556.593932278454304
26,"(47.44121579900008, -122.24186949799997)",,,98032,98032,033,75046.271809708880028,97785732.979548677802086
27,"(47.70401103700004, -122.20597289099999)",,,98033,98033,033,46260.849485050595831,67903610.131587773561478
28,"(47.74036136700005, -122.18536131899998)",,,98034,98034,033,47160.895061976712896,66706500.657558254897594
29,"(47.82959476600007, -122.24393479399998)",,,98036,98036,061,50694.157687536469894,55009115.021786227822304
30,"(47.850181630000066, -122.29810553099998)",,,98037,98037,061,35449.460766441989108,34801943.814979299902916
31,"(47.459846784000035, -122.03701482299999)",,,98038,98038,033,142468.741876459709601,334521238.156873941421509
32,"(47.639261840000074, -122.23273305999999)",,,98039,98039,033,27712.891908130968659,31720367.224054429680109
33,"(47.52405614700007, -122.21572924499998)",,,98040,98040,033,38964.779279812122695,72524676.802105486392975
34,"(47.42511105700004, -122.15060655199994)",,,98042,98042,033,93351.041038006093004,154167614.790438652038574
35,"(47.77732046600005, -122.28680109399994)",,,98043,98043,061,21299.826759394647524,23822482.517304331064224
36,"(47.571736163000025, -121.59817801099996)",,,98045,98045,033,284825.936298859713133,1635546191.899966478347778
37,"(47.280621997000026, -122.23106736699998)",,,98047,98047,033,18147.139906598211383,9765611.229413017630577
38,"(47.257341559000054, -122.26205252399996)",,,98047,98047,053,8949.758130148080454,3893093.40429855696857
39,"(47.39288118300004, -121.94631758799994)",,,98051,98051,033,95188.916544994077412,232513415.023370295763016
40,"(47.73291409900003, -122.13587488699994)",,,98052,98052,033,73666.062768537609372,114554488.514115169644356
41,"(47.720313830000066, -122.02846013799996)",,,98053,98053,033,90986.880713920050766,158467801.269369065761566
42,"(47.47357939400007, -122.18562578599995)",,,98055,98055,033,30865.46560340918586,25214870.723791468888521
43,"(47.54544277300005, -122.19481266499997)",,,98056,98056,033,40889.014701957588841,47488943.710586696863174
44,"(47.50105571300003, -122.20469499099994)",,,98057,98057,033,39955.77015061678685,38571251.698241218924522
45,"(47.47771391100008, -122.17975971499999)",,,98058,98058,033,78511.795760012129904,127431346.579098537564278
46,"(47.54144286600007, -122.14281466399996)",,,98059,98059,033,65660.983399236982223,94029554.882451042532921
47,"(47.62889100000007, -121.70472318099996)",,,98065,98065,033,156023.832387316331733,490079791.612076044082642
48,"(47.52285161900005, -121.27354917499997)",,,98068,98068,037,99305.591192977386527,358807635.573009967803955
49,"(47.52181815700004, -122.43310355599999)",,,98070,98070,033,92754.242402602219954,461256178.153234481811523
50,"(47.776196122000044, -122.15419018799997)",,,98072,98072,033,54139.213890180573799,77385937.297390103340149
51,"(47.80220882700007, -122.11039437)",,,98072,98072,061,35483.457294240994088,31135768.145059630274773
52,"(47.64936235500005, -122.07480556299998)",,,98074,98074,033,52784.117397063062526,76842667.390655100345612
53,"(47.601828373000046, -122.07802964099994)",,,98075,98075,033,59849.940898973698495,68543565.666706249117851
54,"(47.77543570800003, -122.00774325599997)",,,98077,98077,033,53043.322749657570967,86200143.358226418495178
55,"(47.775808737000034, -122.06316293599997)",,,98077,98077,061,22725.244368760828365,15615811.282710483297706
56,"(47.867133283000044, -122.22795025499994)",,,98087,98087,061,30885.163842899703013,32300749.412711404263973
57,"(47.350714595000056, -122.18677346999999)",,,98092,98092,033,118332.633901831024559,245227880.310534834861755
58,"(47.25755040200005, -122.22933176899994)",,,98092,98092,053,13027.328508025328119,6408418.253447975032032
59,"(47.61843728600007, -122.33001547899994)",,,98101,98101,033,15641.102570937915516,5022785.924921805039048
60,"(47.649513065000065, -122.31593016999994)",,,98102,98102,033,16959.949842851587164,8838728.090604022145271
61,"(47.70111708700006, -122.32849836199995)",,,98103,98103,033,32331.937093658500089,29490956.358746506273746
62,"(47.61204519300003, -122.32220463299996)",,,98104,98104,033,19582.454186745275365,7924790.41569147258997
63,"(47.67381195300004, -122.30977711499997)",,,98105,98105,033,37314.147270855602983,30793084.393927842378616
64,"(47.582422036000025, -122.35991783299994)",,,98106,98106,033,39363.014315949374577,31213904.782511632889509
65,"(47.67581982200005, -122.40585346999995)",,,98107,98107,033,21716.130550093959755,13741277.828170398250222
66,"(47.57192457800005, -122.30174596499995)",,,98108,98108,033,38290.007852867980546,43817860.065079867839813
67,"(47.648902742000075, -122.35243087699996)",,,98109,98109,033,18428.81770796262208,13566179.763602988794446
68,"(47.59365013900003, -122.55056541699997)",,,98110,98110,035,86425.97828187912819,378899271.41682231426239
69,"(47.64761703700003, -122.28728784099997)",,,98112,98112,033,24613.721483305867878,28700703.612864229828119
70,"(47.700377212000035, -122.32781692599997)",,,98115,98115,033,39158.26137064096838,49837255.850117214024067
71,"(47.59403727200004, -122.36537693599996)",,,98116,98116,033,38487.992715695581865,75587905.960021182894707
72,"(47.70230515000003, -122.44804159999995)",,,98117,98117,033,32228.546999970592879,36499255.520366631448269
73,"(47.57407082000003, -122.25913052599998)",,,98118,98118,033,39525.626825417355576,52425210.716613881289959
74,"(47.65663962100007, -122.36798211499996)",,,98119,98119,033,25057.981093245150987,22676944.930773764848709
75,"(47.618617769000025, -122.35847800999994)",,,98121,98121,033,12582.343932316272912,5681266.802871966734529
76,"(47.61931264100008, -122.32272235899995)",,,98122,98122,033,26311.531215138078551,18459322.468830719590187
77,"(47.73405517200007, -122.32375985199997)",,,98125,98125,033,32084.568663751255372,36933433.168221950531006
78,"(47.59403727200004, -122.36537693599996)",,,98126,98126,033,37936.529377872284385,21602583.424230448901653
79,"(47.77776727600008, -122.33533471399994)",,,98133,98133,033,43085.859464921573817,40121487.447847254574299
80,"(47.59628855700004, -122.33418933699994)",,,98134,98134,033,26550.828727276679274,25527700.720501769334078
